Datum,Zeit,Wirkleistung [kW]
1/1/2024,0:15:00,64
1/1/2024,0:30:00,66
1/1/2024,0:45:00,66
1/1/2024,1:00:00,62
1/1/2024,1:15:00,66
1/1/2024,1:30:00,65
1/1/2024,1:45:00,63
1/1/2024,2:00:00,62
1/1/2024,2:15:00,64
1/1/2024,2:30:00,63
1/1/2024,2:45:00,62
1/1/2024,3:00:00,64
1/1/2024,3:15:00,62
1/1/2024,3:30:00,63
1/1/2024,3:45:00,63
1/1/2024,4:00:00,64
1/1/2024,4:15:00,62
1/1/2024,4:30:00,63
1/1/2024,4:45:00,63
1/1/2024,5:00:00,62
1/1/2024,5:15:00,62
1/1/2024,5:30:00,63
1/1/2024,5:45:00,64
1/1/2024,6:00:00,64
1/1/2024,6:15:00,65
1/1/2024,6:30:00,66
1/1/2024,6:45:00,64
1/1/2024,7:00:00,65
1/1/2024,7:15:00,65
1/1/2024,7:30:00,65
1/1/2024,7:45:00,64
1/1/2024,8:00:00,66
1/1/2024,8:15:00,64
1/1/2024,8:30:00,65
1/1/2024,8:45:00,64
1/1/2024,9:00:00,66
1/1/2024,9:15:00,63
1/1/2024,9:30:00,65
1/1/2024,9:45:00,65
1/1/2024,10:00:00,64
1/1/2024,10:15:00,64
1/1/2024,10:30:00,65
1/1/2024,10:45:00,64
1/1/2024,11:00:00,64
1/1/2024,11:15:00,65
1/1/2024,11:30:00,65
1/1/2024,11:45:00,67
1/1/2024,12:00:00,70
1/1/2024,12:15:00,71
1/1/2024,12:30:00,68
1/1/2024,12:45:00,70
1/1/2024,13:00:00,70
1/1/2024,13:15:00,69
1/1/2024,13:30:00,65
1/1/2024,13:45:00,67
1/1/2024,14:00:00,63
1/1/2024,14:15:00,63
1/1/2024,14:30:00,62
1/1/2024,14:45:00,65
1/1/2024,15:00:00,62
1/1/2024,15:15:00,63
1/1/2024,15:30:00,64
1/1/2024,15:45:00,63
1/1/2024,16:00:00,62
1/1/2024,16:15:00,65
1/1/2024,16:30:00,65
1/1/2024,16:45:00,63
1/1/2024,17:00:00,64
1/1/2024,17:15:00,69
1/1/2024,17:30:00,65
1/1/2024,17:45:00,64
1/1/2024,18:00:00,68
1/1/2024,18:15:00,64
1/1/2024,18:30:00,66
1/1/2024,18:45:00,67
1/1/2024,19:00:00,66
1/1/2024,19:15:00,64
1/1/2024,19:30:00,66
1/1/2024,19:45:00,67
1/1/2024,20:00:00,66
1/1/2024,20:15:00,67
1/1/2024,20:30:00,67
1/1/2024,20:45:00,65
1/1/2024,21:00:00,66
1/1/2024,21:15:00,66
1/1/2024,21:30:00,66
1/1/2024,21:45:00,65
1/1/2024,22:00:00,66
1/1/2024,22:15:00,66
1/1/2024,22:30:00,65
1/1/2024,22:45:00,67
1/1/2024,23:00:00,65
1/1/2024,23:15:00,67
1/1/2024,23:30:00,64
1/1/2024,23:45:00,64
2/1/2024,0:00:00,63
2/1/2024,0:15:00,65
2/1/2024,0:30:00,65
2/1/2024,0:45:00,64
2/1/2024,1:00:00,64
2/1/2024,1:15:00,63
2/1/2024,1:30:00,65
2/1/2024,1:45:00,63
2/1/2024,2:00:00,65
2/1/2024,2:15:00,65
2/1/2024,2:30:00,62
2/1/2024,2:45:00,64
2/1/2024,3:00:00,62
2/1/2024,3:15:00,62
2/1/2024,3:30:00,61
2/1/2024,3:45:00,61
2/1/2024,4:00:00,63
2/1/2024,4:15:00,62
2/1/2024,4:30:00,61
2/1/2024,4:45:00,64
2/1/2024,5:00:00,64
2/1/2024,5:15:00,62
2/1/2024,5:30:00,64
2/1/2024,5:45:00,63
2/1/2024,6:00:00,62
2/1/2024,6:15:00,63
2/1/2024,6:30:00,64
2/1/2024,6:45:00,65
2/1/2024,7:00:00,64
2/1/2024,7:15:00,66
2/1/2024,7:30:00,65
2/1/2024,7:45:00,65
2/1/2024,8:00:00,65
2/1/2024,8:15:00,66
2/1/2024,8:30:00,66
2/1/2024,8:45:00,66
2/1/2024,9:00:00,67
2/1/2024,9:15:00,66
2/1/2024,9:30:00,67
2/1/2024,9:45:00,65
2/1/2024,10:00:00,66
2/1/2024,10:15:00,65
2/1/2024,10:30:00,65
2/1/2024,10:45:00,65
2/1/2024,11:00:00,66
2/1/2024,11:15:00,66
2/1/2024,11:30:00,67
2/1/2024,11:45:00,71
2/1/2024,12:00:00,70
2/1/2024,12:15:00,68
2/1/2024,12:30:00,66
2/1/2024,12:45:00,65
2/1/2024,13:00:00,65
2/1/2024,13:15:00,64
2/1/2024,13:30:00,66
2/1/2024,13:45:00,64
2/1/2024,14:00:00,64
2/1/2024,14:15:00,66
2/1/2024,14:30:00,66
2/1/2024,14:45:00,64
2/1/2024,15:00:00,64
2/1/2024,15:15:00,66
2/1/2024,15:30:00,65
2/1/2024,15:45:00,65
2/1/2024,16:00:00,65
2/1/2024,16:15:00,66
2/1/2024,16:30:00,65
2/1/2024,16:45:00,66
2/1/2024,17:00:00,65
2/1/2024,17:15:00,66
2/1/2024,17:30:00,65
2/1/2024,17:45:00,68
2/1/2024,18:00:00,67
2/1/2024,18:15:00,64
2/1/2024,18:30:00,65
2/1/2024,18:45:00,67
2/1/2024,19:00:00,64
2/1/2024,19:15:00,69
2/1/2024,19:30:00,72
2/1/2024,19:45:00,70
2/1/2024,20:00:00,70
2/1/2024,20:15:00,66
2/1/2024,20:30:00,66
2/1/2024,20:45:00,66
2/1/2024,21:00:00,66
2/1/2024,21:15:00,66
2/1/2024,21:30:00,65
2/1/2024,21:45:00,67
2/1/2024,22:00:00,66
2/1/2024,22:15:00,66
2/1/2024,22:30:00,66
2/1/2024,22:45:00,67
2/1/2024,23:00:00,66
2/1/2024,23:15:00,64
2/1/2024,23:30:00,66
2/1/2024,23:45:00,66
3/1/2024,0:00:00,69
3/1/2024,0:15:00,65
3/1/2024,0:30:00,67
3/1/2024,0:45:00,64
3/1/2024,1:00:00,65
3/1/2024,1:15:00,65
3/1/2024,1:30:00,66
3/1/2024,1:45:00,65
3/1/2024,2:00:00,65
3/1/2024,2:15:00,65
3/1/2024,2:30:00,66
3/1/2024,2:45:00,64
3/1/2024,3:00:00,65
3/1/2024,3:15:00,66
3/1/2024,3:30:00,66
3/1/2024,3:45:00,64
3/1/2024,4:00:00,65
3/1/2024,4:15:00,66
3/1/2024,4:30:00,65
3/1/2024,4:45:00,64
3/1/2024,5:00:00,65
3/1/2024,5:15:00,66
3/1/2024,5:30:00,65
3/1/2024,5:45:00,65
3/1/2024,6:00:00,65
3/1/2024,6:15:00,71
3/1/2024,6:30:00,64
3/1/2024,6:45:00,65
3/1/2024,7:00:00,65
3/1/2024,7:15:00,69
3/1/2024,7:30:00,76
3/1/2024,7:45:00,75
3/1/2024,8:00:00,77
3/1/2024,8:15:00,78
3/1/2024,8:30:00,79
3/1/2024,8:45:00,78
3/1/2024,9:00:00,78
3/1/2024,9:15:00,76
3/1/2024,9:30:00,77
3/1/2024,9:45:00,77
3/1/2024,10:00:00,77
3/1/2024,10:15:00,78
3/1/2024,10:30:00,75
3/1/2024,10:45:00,78
3/1/2024,11:00:00,77
3/1/2024,11:15:00,77
3/1/2024,11:30:00,76
3/1/2024,11:45:00,80
3/1/2024,12:00:00,84
3/1/2024,12:15:00,81
3/1/2024,12:30:00,78
3/1/2024,12:45:00,78
3/1/2024,13:00:00,77
3/1/2024,13:15:00,79
3/1/2024,13:30:00,79
3/1/2024,13:45:00,77
3/1/2024,14:00:00,77
3/1/2024,14:15:00,77
3/1/2024,14:30:00,78
3/1/2024,14:45:00,78
3/1/2024,15:00:00,77
3/1/2024,15:15:00,65
3/1/2024,15:30:00,68
3/1/2024,15:45:00,65
3/1/2024,16:00:00,66
3/1/2024,16:15:00,64
3/1/2024,16:30:00,66
3/1/2024,16:45:00,64
3/1/2024,17:00:00,65
3/1/2024,17:15:00,65
3/1/2024,17:30:00,65
3/1/2024,17:45:00,65
3/1/2024,18:00:00,63
3/1/2024,18:15:00,67
3/1/2024,18:30:00,65
3/1/2024,18:45:00,66
3/1/2024,19:00:00,63
3/1/2024,19:15:00,66
3/1/2024,19:30:00,64
3/1/2024,19:45:00,64
3/1/2024,20:00:00,66
3/1/2024,20:15:00,64
3/1/2024,20:30:00,65
3/1/2024,20:45:00,63
3/1/2024,21:00:00,66
3/1/2024,21:15:00,64
3/1/2024,21:30:00,64
3/1/2024,21:45:00,64
3/1/2024,22:00:00,67
3/1/2024,22:15:00,63
3/1/2024,22:30:00,64
3/1/2024,22:45:00,65
3/1/2024,23:00:00,64
3/1/2024,23:15:00,64
3/1/2024,23:30:00,64
3/1/2024,23:45:00,65
