Latitude (deg.): 50.209
Longitude (deg.): 6.423

A		H_hor		A_sun(w)		H_sun(w)		A_sun(s)		H_sun(s)
-180.0		7.3		-180.0		0.0		-180.0		0.0
-172.5		6.5		-164.9		0.0		-172.8		0.0
-165.0		5.7		-150.9		0.0		-165.8		0.0
-157.5		5.0		-138.5		0.0		-158.8		0.0
-150.0		2.7		-127.8		0.0		-152.1		0.0
-142.5		1.5		-118.6		0.0		-145.5		0.0
-135.0		2.3		-110.6		0.0		-139.3		0.0
-127.5		3.1		-103.5		0.0		-133.2		0.0
-120.0		4.2		-97.0		0.0		-127.4		0.7
-112.5		5.0		-91.0		0.0		-121.7		4.7
-105.0		5.0		-85.3		0.0		-116.3		8.8
-97.5		6.5		-79.9		0.0		-110.9		13.2
-90.0		7.6		-74.5		0.0		-105.5		17.8
-82.5		7.3		-69.1		0.0		-100.1		22.5
-75.0		6.9		-63.7		0.0		-94.7		27.2
-67.5		7.6		-58.3		0.0		-89.0		32.0
-60.0		7.3		-52.6		0.0		-83.0		36.8
-52.5		7.3		-46.8		3.0		-76.5		41.5
-45.0		6.9		-40.7		6.3		-69.4		46.1
-37.5		6.9		-34.5		9.2		-61.4		50.5
-30.0		6.5		-27.9		11.7		-52.2		54.5
-22.5		6.5		-21.2		13.7		-41.5		58.0
-15.0		5.7		-14.2		15.2		-29.1		60.8
-7.5		6.1		-7.2		16.0		-15.1		62.6
0.0		4.2		0.0		16.3		0.0		63.2
7.5		3.4		7.2		16.0		15.1		62.6
15.0		4.6		14.2		15.2		29.1		60.8
22.5		4.6		21.2		13.7		41.5		58.0
30.0		4.6		27.9		11.7		52.2		54.5
37.5		5.3		34.5		9.2		61.4		50.5
45.0		5.3		40.7		6.3		69.4		46.1
52.5		5.3		46.8		3.0		76.5		41.5
60.0		5.3		52.6		0.0		83.0		36.8
67.5		5.3		58.3		0.0		89.0		32.0
75.0		5.0		63.7		0.0		94.7		27.2
82.5		4.2		69.1		0.0		100.1		22.5
90.0		4.6		74.5		0.0		105.5		17.8
97.5		5.7		79.9		0.0		110.9		13.2
105.0		6.5		85.3		0.0		116.3		8.8
112.5		6.9		91.0		0.0		121.7		4.7
120.0		6.5		97.0		0.0		127.4		0.7
127.5		5.3		103.5		0.0		133.2		0.0
135.0		5.7		110.6		0.0		139.3		0.0
142.5		6.5		118.6		0.0		145.5		0.0
150.0		6.9		127.8		0.0		152.1		0.0
157.5		7.3		138.5		0.0		158.8		0.0
165.0		7.6		150.9		0.0		165.8		0.0
172.5		7.6		164.9		0.0		172.8		0.0
180.0		7.3		180.0		0.0		180.0		0.0

A: Azimuth (0 = S, 90 = W, -90 = E) (degree)
H_hor: Horizon height (degree)
A_sun(w): Sun azimuth in the winter solstice (Dec 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(w): Sun height in the winter solstice (Dec 21) (degree)
A_sun(s): Sun azimuth in the summer solstice (June 21) (0 = S, 90 = W, -90 = E) (degree)
H_sun(s): Sun height in the summer solstice (June 21) (degree)

PVGIS (c) European Union, 2001-2025
