Latitude (decimal degrees): 50.209
Longitude (decimal degrees): 6.423
Elevation (m): 448.0
Irradiance Time Offset (h): 0.1818
month,year
1,2015
2,2018
3,2018
4,2017
5,2008
6,2017
7,2012
8,2013
9,2017
10,2015
11,2014
12,2012
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20150101:0000,0.21,90.67,0.0,-0.0,0.0,291.43,3.42,303.0,97700.0
20150101:0100,-0.71,91.81,0.0,-0.0,0.0,285.64,2.96,305.0,97700.0
20150101:0200,-1.63,92.95,0.0,-0.0,0.0,279.86,2.49,305.0,97720.0
20150101:0300,-2.54,94.08,0.0,-0.0,0.0,274.07,2.03,294.0,97700.0
20150101:0400,-3.46,95.22,0.0,-0.0,0.0,268.28,1.56,289.0,97690.0
20150101:0500,-4.38,96.36,0.0,-0.0,0.0,262.49,1.1,268.0,97670.0
20150101:0600,-5.3,97.49,0.0,-0.0,0.0,256.7,0.63,236.0,97650.0
20150101:0700,-6.21,98.63,0.0,-0.0,0.0,250.91,0.17,252.0,97780.0
20150101:0800,-5.15,95.45,21.0,0.0,21.0,279.05,1.86,222.0,97780.0
20150101:0900,-4.04,95.5,106.0,180.29,75.0,269.6,2.28,200.0,97720.0
20150101:1000,-2.49,95.55,110.0,32.39,102.0,276.15,2.28,211.0,97700.0
20150101:1100,-1.15,95.6,145.0,59.71,128.0,281.75,2.48,239.0,97720.0
20150101:1200,-0.38,92.0,164.0,113.25,132.0,248.65,2.69,229.0,97650.0
20150101:1300,0.09,92.0,140.0,120.48,111.0,255.05,2.97,224.0,97580.0
20150101:1400,-0.04,95.6,82.0,86.44,68.0,238.4,3.03,221.0,97560.0
20150101:1500,-0.57,95.6,14.0,0.0,14.0,252.75,3.03,222.0,97560.0
20150101:1600,-1.17,95.6,0.0,-0.0,0.0,263.95,3.1,218.0,97550.0
20150101:1700,-1.4,95.6,0.0,-0.0,0.0,279.05,3.31,214.0,97520.0
20150101:1800,-1.6,95.6,0.0,-0.0,0.0,278.85,3.66,210.0,97460.0
20150101:1900,-1.88,95.6,0.0,-0.0,0.0,286.4,4.0,209.0,97480.0
20150101:2000,-1.87,95.6,0.0,-0.0,0.0,294.15,4.28,210.0,97440.0
20150101:2100,-1.91,95.6,0.0,-0.0,0.0,299.55,4.55,214.0,97380.0
20150101:2200,-1.96,95.55,0.0,-0.0,0.0,291.25,4.55,217.0,97310.0
20150101:2300,-1.91,88.35,0.0,-0.0,0.0,276.95,4.9,217.0,97220.0
20150102:0000,-1.81,84.95,0.0,-0.0,0.0,254.3,5.24,220.0,97140.0
20150102:0100,-1.58,81.65,0.0,-0.0,0.0,251.5,5.59,225.0,97060.0
20150102:0200,-1.4,75.45,0.0,-0.0,0.0,238.05,5.86,228.0,97020.0
20150102:0300,-1.15,75.45,0.0,-0.0,0.0,248.85,6.0,231.0,96960.0
20150102:0400,-0.8,75.55,0.0,-0.0,0.0,267.65,6.0,232.0,96890.0
20150102:0500,-0.4,81.8,0.0,-0.0,0.0,283.5,5.86,233.0,96840.0
20150102:0600,0.38,85.15,0.0,-0.0,0.0,316.2,5.93,234.0,96850.0
20150102:0700,0.33,92.0,0.0,-0.0,0.0,318.55,6.07,229.0,96880.0
20150102:0800,0.88,92.05,23.0,0.0,23.0,320.3,6.0,234.0,96930.0
20150102:0900,1.27,95.65,39.0,0.0,39.0,322.2,5.66,238.0,96960.0
20150102:1000,1.7,95.65,69.0,0.0,69.0,323.2,5.45,242.0,96980.0
20150102:1100,2.22,95.7,161.0,101.4,132.0,325.5,5.24,245.0,96970.0
20150102:1200,2.75,99.4,194.0,228.74,129.0,327.85,4.76,253.0,96980.0
20150102:1300,3.2,99.4,27.0,0.0,27.0,329.2,4.48,261.0,97000.0
20150102:1400,3.54,100.0,92.0,140.22,69.0,330.75,4.07,273.0,97070.0
20150102:1500,3.66,99.4,17.0,0.0,17.0,331.1,4.0,282.0,97160.0
20150102:1600,3.05,99.4,0.0,-0.0,0.0,298.8,4.14,288.0,97260.0
20150102:1700,2.29,88.65,0.0,-0.0,0.0,277.5,4.28,290.0,97370.0
20150102:1800,1.34,85.25,0.0,-0.0,0.0,242.65,4.14,286.0,97430.0
20150102:1900,0.42,85.15,0.0,-0.0,0.0,227.2,3.66,282.0,97470.0
20150102:2000,-0.45,88.45,0.0,-0.0,0.0,224.65,3.38,277.0,97500.0
20150102:2100,-1.13,88.4,0.0,-0.0,0.0,222.15,3.24,272.0,97550.0
20150102:2200,-1.76,88.35,0.0,-0.0,0.0,220.8,3.03,270.0,97510.0
20150102:2300,-2.32,88.3,0.0,-0.0,0.0,220.8,3.03,269.0,97520.0
20150103:0000,-2.77,88.25,0.0,-0.0,0.0,223.5,2.9,267.0,97490.0
20150103:0100,-2.74,88.25,0.0,-0.0,0.0,248.4,2.69,260.0,97470.0
20150103:0200,-2.41,88.3,0.0,-0.0,0.0,268.6,2.55,245.0,97430.0
20150103:0300,-2.48,91.85,0.0,-0.0,0.0,264.75,2.55,231.0,97350.0
20150103:0400,-3.3,91.8,0.0,-0.0,0.0,230.3,2.83,230.0,97290.0
20150103:0500,-3.01,95.55,0.0,-0.0,0.0,253.7,2.9,229.0,97210.0
20150103:0600,-2.11,95.55,0.0,-0.0,0.0,283.7,3.1,226.0,97150.0
20150103:0700,-0.62,95.6,0.0,-0.0,0.0,304.4,3.52,223.0,97050.0
20150103:0800,-0.02,99.4,17.0,0.0,17.0,300.55,3.72,227.0,96990.0
20150103:0900,0.37,99.4,75.0,40.37,68.0,309.85,4.07,228.0,96910.0
20150103:1000,0.36,99.4,59.0,0.0,59.0,311.55,3.52,215.0,96750.0
20150103:1100,0.3,99.4,61.0,0.0,61.0,313.7,3.17,206.0,96600.0
20150103:1200,0.25,95.65,143.0,55.97,127.0,312.55,3.1,195.0,96420.0
20150103:1300,0.08,99.4,107.0,32.72,99.0,311.4,2.97,181.0,96190.0
20150103:1400,0.06,99.4,70.0,36.1,64.0,312.35,2.76,183.0,96000.0
20150103:1500,0.35,99.4,17.0,0.0,17.0,314.85,2.41,199.0,95870.0
20150103:1600,1.01,99.35,0.0,-0.0,0.0,317.4,1.93,231.0,95780.0
20150103:1700,1.75,99.4,0.0,-0.0,0.0,322.8,2.07,306.0,95750.0
20150103:1800,1.85,99.4,0.0,-0.0,0.0,328.05,3.1,338.0,95840.0
20150103:1900,1.5,99.4,0.0,-0.0,0.0,329.0,4.62,345.0,95920.0
20150103:2000,0.4,95.65,0.0,-0.0,0.0,320.3,4.62,348.0,96140.0
20150103:2100,0.15,92.0,0.0,-0.0,0.0,308.1,4.0,340.0,96320.0
20150103:2200,-0.32,92.0,0.0,-0.0,0.0,276.95,3.79,330.0,96480.0
20150103:2300,-0.27,95.6,0.0,-0.0,0.0,290.65,3.79,322.0,96590.0
20150104:0000,0.0,99.4,0.0,-0.0,0.0,301.5,4.0,316.0,96700.0
20150104:0100,0.32,95.65,0.0,-0.0,0.0,310.7,4.21,312.0,96820.0
20150104:0200,0.48,95.65,0.0,-0.0,0.0,303.65,4.21,312.0,96910.0
20150104:0300,0.35,95.65,0.0,-0.0,0.0,291.85,4.0,315.0,96940.0
