DE Electricity Market,market_price_2019,market_price_2020,market_price_2021,market_price_2022,market_price_2023,market_price_2024,market_price_2025
2025-01-01 00:00:00,28.32,41.88,50.87,-5.17,-5.17,0.1,2.16
2025-01-01 01:00:00,10.07,38.6,48.19,-1.07,-1.07,0.01,1.6
2025-01-01 02:00:00,-4.08,36.55,44.68,-1.47,-1.47,0.0,0.0
2025-01-01 03:00:00,-9.91,32.32,42.92,-5.08,-5.08,-0.01,-0.01
2025-01-01 04:00:00,-7.41,30.85,40.39,-4.49,-4.49,-0.03,-0.01
2025-01-01 05:00:00,-12.55,30.14,40.2,-5.4,-5.4,-0.02,-0.06
2025-01-01 06:00:00,-17.25,30.17,39.63,-5.02,-5.02,-0.05,-0.09
2025-01-01 07:00:00,-15.07,30.0,40.09,-1.3,-1.3,-0.02,-0.01
2025-01-01 08:00:00,-4.93,30.65,41.27,-1.44,-1.44,0.0,-0.01
2025-01-01 09:00:00,-6.33,30.65,44.88,-1.09,-1.09,0.04,-0.04
2025-01-01 10:00:00,-4.93,30.27,45.0,-1.07,-1.07,0.06,-0.03
2025-01-01 11:00:00,0.45,30.34,47.2,-1.07,-1.07,0.54,-0.1
2025-01-01 12:00:00,0.12,30.99,50.78,-0.79,-0.79,2.24,-0.05
2025-01-01 13:00:00,-0.02,30.04,45.49,-0.27,-0.27,1.96,-0.1
2025-01-01 14:00:00,0.0,30.75,44.73,0.85,0.85,1.04,-1.01
2025-01-01 15:00:00,-0.03,32.11,46.59,23.53,23.53,3.66,-0.01
2025-01-01 16:00:00,1.97,35.98,52.99,36.54,36.54,43.06,-0.01
2025-01-01 17:00:00,9.06,40.4,60.26,46.03,46.03,49.93,0.07
2025-01-01 18:00:00,0.07,44.05,60.61,55.57,55.57,58.0,1.01
2025-01-01 19:00:00,-4.97,43.15,60.36,54.95,54.95,54.25,1.48
2025-01-01 20:00:00,-6.98,43.45,57.4,49.23,49.23,48.01,1.0
2025-01-01 21:00:00,-24.93,40.68,53.86,44.99,44.99,42.95,0.07
2025-01-01 22:00:00,-4.87,40.27,53.45,45.96,45.96,47.09,10.05
2025-01-01 23:00:00,-28.93,34.85,49.72,35.0,35.0,35.55,7.01
2025-01-02 00:00:00,-33.57,35.4,46.69,57.91,57.91,30.59,2.55
2025-01-02 01:00:00,-45.92,31.98,42.43,51.67,51.67,20.07,1.56
2025-01-02 02:00:00,-48.29,30.5,41.09,52.93,52.93,31.03,3.45
2025-01-02 03:00:00,-44.99,28.79,40.0,44.09,44.09,18.39,7.02
2025-01-02 04:00:00,-48.93,28.42,37.55,50.08,50.08,11.08,12.75
2025-01-02 05:00:00,-29.91,28.75,39.0,69.72,69.72,13.78,30.07
2025-01-02 06:00:00,-0.01,34.16,42.09,105.08,105.08,47.63,67.13
2025-01-02 07:00:00,37.43,42.07,44.96,140.64,140.64,58.1,98.83
2025-01-02 08:00:00,48.06,44.89,48.45,145.98,145.98,65.67,121.53
2025-01-02 09:00:00,50.74,45.26,52.0,147.05,147.05,64.73,127.23
2025-01-02 10:00:00,47.57,45.57,52.0,145.61,145.61,68.98,126.35
2025-01-02 11:00:00,43.94,45.09,52.15,143.35,143.35,73.54,119.97
2025-01-02 12:00:00,40.97,45.16,55.95,144.38,144.38,78.16,115.95
2025-01-02 13:00:00,44.95,44.9,52.0,143.76,143.76,78.87,113.9
2025-01-02 14:00:00,49.64,44.06,50.69,148.2,148.2,79.24,122.21
2025-01-02 15:00:00,53.67,44.84,53.45,155.34,155.34,79.96,130.11
2025-01-02 16:00:00,56.01,44.4,59.99,162.89,162.89,83.46,138.59
2025-01-02 17:00:00,56.95,46.05,62.0,170.0,170.0,80.92,152.87
2025-01-02 18:00:00,62.08,46.72,63.08,174.74,174.74,74.95,152.94
2025-01-02 19:00:00,62.11,45.26,62.17,164.46,164.46,63.18,139.15
2025-01-02 20:00:00,57.99,39.32,60.03,153.0,153.0,57.11,130.0
2025-01-02 21:00:00,55.64,34.06,55.03,141.67,141.67,46.89,119.78
2025-01-02 22:00:00,55.13,32.22,52.25,134.91,134.91,40.0,113.42
2025-01-02 23:00:00,50.76,24.99,48.45,124.22,124.22,7.43,82.47
2025-01-03 00:00:00,42.91,21.47,46.11,130.01,130.01,-0.08,99.56
2025-01-03 01:00:00,45.22,13.04,43.0,120.0,120.0,-1.23,87.53
2025-01-03 02:00:00,45.63,1.53,39.55,118.76,118.76,-1.3,85.01
2025-01-03 03:00:00,44.0,0.14,35.18,115.0,115.0,-1.31,83.79
2025-01-03 04:00:00,43.88,0.85,33.45,113.63,113.63,-1.31,77.5
2025-01-03 05:00:00,45.92,9.92,32.37,116.27,116.27,-1.38,79.88
2025-01-03 06:00:00,51.07,24.48,31.7,138.92,138.92,1.09,83.56
2025-01-03 07:00:00,52.77,26.68,32.63,159.92,159.92,40.59,78.43
2025-01-03 08:00:00,62.89,28.81,36.9,169.17,169.17,59.61,82.57
2025-01-03 09:00:00,60.03,29.28,36.96,171.18,171.18,60.61,80.76
2025-01-03 10:00:00,58.19,28.85,36.96,168.57,168.57,57.0,77.64
2025-01-03 11:00:00,62.99,31.8,43.72,169.49,169.49,54.89,70.48
2025-01-03 12:00:00,63.52,37.94,47.71,164.5,164.5,53.89,69.94
2025-01-03 13:00:00,64.67,37.9,40.41,160.91,160.91,54.42,77.8
2025-01-03 14:00:00,65.24,38.11,39.66,163.06,163.06,60.86,78.81
2025-01-03 15:00:00,67.76,37.91,39.57,167.73,167.73,67.18,85.29
2025-01-03 16:00:00,68.41,38.44,36.11,166.61,166.61,73.59,105.51
2025-01-03 17:00:00,69.55,40.47,45.04,170.72,170.72,82.28,116.66
2025-01-03 18:00:00,67.28,41.35,52.56,168.93,168.93,82.97,115.06
2025-01-03 19:00:00,69.46,33.37,45.84,160.99,160.99,79.03,114.91
2025-01-03 20:00:00,68.38,28.89,35.83,149.62,149.62,73.23,113.3
2025-01-03 21:00:00,61.72,27.7,33.31,130.99,130.99,67.41,107.8
2025-01-03 22:00:00,53.72,25.7,34.98,114.27,114.27,65.0,98.22
2025-01-03 23:00:00,49.98,22.04,27.39,93.66,93.66,58.12,88.57
2025-01-04 00:00:00,50.73,22.9,29.33,80.89,80.89,57.3,90.43
2025-01-04 01:00:00,47.11,15.95,24.82,70.67,70.67,50.46,90.29
2025-01-04 02:00:00,47.07,16.63,24.65,40.0,40.0,40.0,90.2
2025-01-04 03:00:00,46.94,6.45,24.8,8.68,8.68,25.48,91.52
2025-01-04 04:00:00,47.0,3.83,27.71,0.85,0.85,35.0,95.95
2025-01-04 05:00:00,46.91,0.12,28.58,11.02,11.02,57.73,102.11
2025-01-04 06:00:00,49.59,0.07,37.04,61.02,61.02,72.65,110.66
2025-01-04 07:00:00,55.32,19.07,52.03,79.2,79.2,85.02,119.96
2025-01-04 08:00:00,55.78,17.49,55.76,84.2,84.2,91.47,128.39
2025-01-04 09:00:00,55.52,23.98,57.06,83.32,83.32,94.2,130.75
2025-01-04 10:00:00,55.23,8.8,57.18,70.07,70.07,91.61,130.34
2025-01-04 11:00:00,53.58,17.95,60.0,79.74,79.74,90.03,128.29
2025-01-04 12:00:00,51.74,19.5,61.27,80.89,80.89,86.3,130.03
2025-01-04 13:00:00,51.6,13.74,60.28,79.72,79.72,85.96,129.85
2025-01-04 14:00:00,51.41,17.42,60.07,80.22,80.22,92.11,136.4
2025-01-04 15:00:00,51.69,20.38,59.46,79.74,79.74,98.62,138.72
2025-01-04 16:00:00,52.59,25.08,61.99,80.82,80.82,105.73,142.0
2025-01-04 17:00:00,54.66,28.88,66.82,86.16,86.16,133.23,151.24
2025-01-04 18:00:00,54.1,32.02,61.97,72.28,72.28,144.65,143.85
2025-01-04 19:00:00,51.89,35.35,55.06,66.61,66.61,125.0,137.96
2025-01-04 20:00:00,46.58,29.98,47.34,43.2,43.2,103.59,129.49
2025-01-04 21:00:00,45.43,34.46,45.64,31.25,31.25,100.01,122.83
2025-01-04 22:00:00,43.96,39.75,48.93,34.96,34.96,94.86,118.29
2025-01-04 23:00:00,31.41,37.95,44.64,9.09,9.09,88.83,109.49
2025-01-05 00:00:00,26.9,33.1,37.54,0.05,0.05,86.08,113.84
2025-01-05 01:00:00,25.12,32.28,40.07,0.07,0.07,80.51,100.33
2025-01-05 02:00:00,24.12,31.18,39.81,0.07,0.07,77.01,93.61
2025-01-05 03:00:00,22.04,30.1,39.65,0.12,0.12,73.21,93.87
2025-01-05 04:00:00,18.37,29.96,40.2,2.23,2.23,74.05,89.38
2025-01-05 05:00:00,22.09,29.88,44.26,10.07,10.07,76.03,83.55
2025-01-05 06:00:00,23.35,30.38,47.06,61.04,61.04,81.0,83.92
2025-01-05 07:00:00,28.76,31.15,54.96,87.19,87.19,87.0,82.53
2025-01-05 08:00:00,36.63,32.09,63.67,95.84,95.84,89.57,84.05
2025-01-05 09:00:00,40.46,34.27,64.73,125.55,125.55,94.93,89.15
2025-01-05 10:00:00,45.85,37.53,66.07,131.92,131.92,96.28,82.95
2025-01-05 11:00:00,49.8,38.99,65.97,143.07,143.07,98.22,88.82
2025-01-05 12:00:00,51.36,38.15,65.46,140.91,140.91,92.24,81.66
2025-01-05 13:00:00,51.74,35.37,63.82,142.58,142.58,91.54,78.39
2025-01-05 14:00:00,51.92,34.44,63.87,151.03,151.03,96.41,68.0
2025-01-05 15:00:00,53.22,36.1,64.05,159.48,159.48,100.05,50.64
2025-01-05 16:00:00,56.62,40.59,64.26,172.73,172.73,102.97,49.91
2025-01-05 17:00:00,56.92,44.68,67.14,194.7,194.7,107.38,66.3
2025-01-05 18:00:00,61.64,46.16,61.61,194.67,194.67,108.45,65.05
2025-01-05 19:00:00,59.44,44.62,59.16,177.98,177.98,103.96,51.28
2025-01-05 20:00:00,52.75,39.5,59.26,163.99,163.99,100.09,36.85
2025-01-05 21:00:00,51.9,35.76,53.62,152.0,152.0,94.19,36.8
2025-01-05 22:00:00,51.38,36.49,53.86,144.64,144.64,94.92,34.68
2025-01-05 23:00:00,49.96,30.49,47.99,127.0,127.0,86.8,28.14
2025-01-06 00:00:00,50.29,29.16,44.41,107.21,107.21,82.25,27.52
2025-01-06 01:00:00,47.72,29.0,42.94,101.1,101.1,80.2,19.26
2025-01-06 02:00:00,48.38,29.08,42.88,96.73,96.73,76.13,11.35
2025-01-06 03:00:00,48.02,27.72,42.15,82.34,82.34,73.01,9.2
2025-01-06 04:00:00,44.23,27.03,43.23,81.93,81.93,73.01,10.0
2025-01-06 05:00:00,47.17,28.98,44.56,84.03,84.03,74.59,14.81
2025-01-06 06:00:00,48.19,33.18,47.4,97.25,97.25,75.1,23.82
2025-01-06 07:00:00,49.11,43.13,44.05,106.51,106.51,81.39,31.72
2025-01-06 08:00:00,50.44,44.52,53.41,120.7,120.7,88.4,41.37
2025-01-06 09:00:00,53.4,44.96,54.8,116.86,116.86,92.23,36.36
2025-01-06 10:00:00,56.55,44.0,53.94,112.85,112.85,97.3,34.69
2025-01-06 11:00:00,60.02,42.46,58.3,113.37,113.37,100.43,32.83
2025-01-06 12:00:00,60.22,41.3,61.43,115.0,115.0,99.16,31.28
2025-01-06 13:00:00,55.0,40.51,61.92,109.78,109.78,95.22,28.6
2025-01-06 14:00:00,52.39,41.22,57.0,119.71,119.71,92.55,25.61
2025-01-06 15:00:00,51.57,43.28,57.53,125.83,125.83,95.09,26.32
2025-01-06 16:00:00,54.71,43.68,61.68,139.57,139.57,99.85,26.87
2025-01-06 17:00:00,63.43,47.9,61.84,155.93,155.93,104.27,31.66
2025-01-06 18:00:00,67.37,48.91,57.46,163.5,163.5,103.63,31.58
2025-01-06 19:00:00,67.2,45.04,58.06,146.74,146.74,99.0,28.74
2025-01-06 20:00:00,66.03,40.28,59.97,139.38,139.38,92.14,26.59
2025-01-06 21:00:00,55.36,33.89,52.95,131.8,131.8,88.0,13.82
2025-01-06 22:00:00,58.59,33.58,52.95,129.94,129.94,86.57,26.94
2025-01-06 23:00:00,53.7,32.41,49.53,121.3,121.3,79.87,12.99
2025-01-07 00:00:00,46.03,30.75,51.03,97.15,97.15,84.08,19.07
2025-01-07 01:00:00,47.98,31.03,50.18,98.43,98.43,79.82,8.71
2025-01-07 02:00:00,47.84,29.88,48.97,96.05,96.05,76.76,8.9
2025-01-07 03:00:00,46.11,29.0,46.72,87.97,87.97,73.46,5.01
2025-01-07 04:00:00,46.08,29.65,46.87,82.99,82.99,71.86,5.13
2025-01-07 05:00:00,47.62,31.78,50.08,83.59,83.59,72.08,5.8
2025-01-07 06:00:00,55.77,40.87,57.34,90.76,90.76,74.9,48.86
2025-01-07 07:00:00,68.61,49.01,67.8,103.21,103.21,77.69,76.83
2025-01-07 08:00:00,74.15,51.09,86.51,111.86,111.86,81.79,85.08
2025-01-07 09:00:00,74.93,51.12,86.54,112.0,112.0,84.86,84.24
2025-01-07 10:00:00,73.59,49.83,85.08,100.0,100.0,87.15,75.25
2025-01-07 11:00:00,71.23,49.16,88.74,88.32,88.32,89.14,62.8
2025-01-07 12:00:00,68.79,48.43,88.76,87.9,87.9,88.66,62.44
2025-01-07 13:00:00,66.75,47.99,84.31,94.05,94.05,84.81,63.9
2025-01-07 14:00:00,62.47,47.41,80.4,88.98,88.98,84.34,72.56
2025-01-07 15:00:00,53.25,45.87,83.57,85.56,85.56,88.01,78.11
2025-01-07 16:00:00,53.26,45.9,89.68,94.1,94.1,93.42,79.98
2025-01-07 17:00:00,53.42,47.96,100.0,96.81,96.81,101.77,96.03
2025-01-07 18:00:00,47.91,48.11,90.43,99.52,99.52,104.85,101.11
2025-01-07 19:00:00,42.05,43.63,80.28,94.58,94.58,103.55,86.21
2025-01-07 20:00:00,40.96,33.6,66.8,87.86,87.86,100.5,78.01
2025-01-07 21:00:00,32.04,32.93,60.22,61.47,61.47,93.31,72.45
2025-01-07 22:00:00,20.82,31.29,59.69,50.0,50.0,91.17,72.45
2025-01-07 23:00:00,1.84,26.28,52.25,38.25,38.25,83.86,50.04
2025-01-08 00:00:00,17.94,18.95,50.53,10.93,10.93,87.02,71.05
2025-01-08 01:00:00,20.91,4.96,48.43,9.07,9.07,84.32,68.01
2025-01-08 02:00:00,7.78,0.1,47.24,9.1,9.1,81.82,63.34
2025-01-08 03:00:00,14.33,0.11,45.61,4.16,4.16,79.11,57.01
2025-01-08 04:00:00,18.56,1.75,46.81,5.58,5.58,78.48,66.29
2025-01-08 05:00:00,18.57,20.74,51.57,9.92,9.92,82.1,72.07
2025-01-08 06:00:00,35.81,25.57,60.67,9.02,9.02,94.3,82.7
2025-01-08 07:00:00,43.87,32.47,79.56,16.47,16.47,111.1,100.73
2025-01-08 08:00:00,46.93,33.07,103.54,49.42,49.42,121.11,128.22
2025-01-08 09:00:00,43.88,33.05,110.45,82.8,82.8,117.83,108.18
2025-01-08 10:00:00,43.85,34.18,109.96,93.7,93.7,110.6,94.65
2025-01-08 11:00:00,46.74,39.63,106.82,103.87,103.87,103.0,100.01
2025-01-08 12:00:00,43.94,41.35,102.37,101.69,101.69,95.5,89.99
2025-01-08 13:00:00,43.21,44.83,97.61,99.0,99.0,92.6,97.2
2025-01-08 14:00:00,43.81,46.04,95.0,104.29,104.29,100.0,110.19
2025-01-08 15:00:00,45.6,46.33,95.42,103.64,103.64,107.98,127.8
2025-01-08 16:00:00,35.21,47.9,95.0,109.11,109.11,116.87,135.82
2025-01-08 17:00:00,45.64,51.21,110.0,118.04,118.04,129.13,155.46
2025-01-08 18:00:00,45.63,55.92,102.41,122.61,122.61,130.01,149.23
2025-01-08 19:00:00,37.94,53.69,88.05,109.11,109.11,122.12,146.48
2025-01-08 20:00:00,39.53,48.1,64.24,103.93,103.93,114.21,136.86
2025-01-08 21:00:00,35.97,44.92,59.43,98.43,98.43,102.83,127.86
2025-01-08 22:00:00,29.72,41.67,57.6,99.37,99.37,99.98,115.92
2025-01-08 23:00:00,22.55,39.41,51.75,81.34,81.34,91.49,103.59
2025-01-09 00:00:00,20.04,34.08,54.73,75.13,75.13,88.16,101.44
2025-01-09 01:00:00,7.24,32.2,52.39,64.38,64.38,87.04,100.0
2025-01-09 02:00:00,3.43,32.56,51.67,60.28,60.28,85.0,98.77
2025-01-09 03:00:00,10.04,32.35,50.88,39.41,39.41,84.14,95.22
2025-01-09 04:00:00,14.2,29.0,50.02,47.25,47.25,85.72,98.28
2025-01-09 05:00:00,25.41,30.86,49.1,69.07,69.07,89.28,102.65
2025-01-09 06:00:00,36.98,38.95,49.57,107.13,107.13,108.51,133.54
2025-01-09 07:00:00,43.89,46.86,53.82,160.0,160.0,124.06,148.8
2025-01-09 08:00:00,50.98,47.92,59.8,180.0,180.0,133.24,164.88
2025-01-09 09:00:00,50.3,45.68,66.92,177.14,177.14,120.91,156.15
2025-01-09 10:00:00,50.21,43.61,67.71,159.07,159.07,113.19,147.64
2025-01-09 11:00:00,45.8,40.0,68.0,160.57,160.57,105.78,140.21
2025-01-09 12:00:00,43.64,37.06,67.01,140.56,140.56,100.22,128.18
2025-01-09 13:00:00,43.49,33.45,62.53,137.67,137.67,100.82,121.15
2025-01-09 14:00:00,45.05,32.2,60.0,143.57,143.57,110.89,123.95
2025-01-09 15:00:00,49.95,31.86,60.0,151.02,151.02,119.4,127.53
2025-01-09 16:00:00,53.82,32.59,62.78,161.96,161.96,127.85,123.75
2025-01-09 17:00:00,55.94,42.85,69.92,176.07,176.07,137.84,130.91
2025-01-09 18:00:00,54.19,41.73,71.99,182.18,182.18,137.8,134.75
2025-01-09 19:00:00,54.19,40.31,68.95,170.79,170.79,130.43,125.44
2025-01-09 20:00:00,52.98,32.96,62.66,160.51,160.51,120.24,119.23
2025-01-09 21:00:00,51.68,30.72,56.54,138.93,138.93,111.68,104.99
2025-01-09 22:00:00,48.95,31.02,55.81,132.0,132.0,106.18,101.1
2025-01-09 23:00:00,47.63,29.14,50.85,108.31,108.31,97.09,88.19
2025-01-10 00:00:00,46.48,26.94,54.65,106.02,106.02,89.29,84.79
2025-01-10 01:00:00,49.08,26.59,51.79,96.71,96.71,86.76,80.23
2025-01-10 02:00:00,47.11,25.81,50.58,95.14,95.14,86.73,71.29
2025-01-10 03:00:00,48.8,25.89,47.98,90.36,90.36,86.09,69.05
2025-01-10 04:00:00,48.5,26.2,47.6,95.61,95.61,86.3,69.89
2025-01-10 05:00:00,49.8,26.95,47.59,108.6,108.6,89.05,83.9
2025-01-10 06:00:00,56.97,28.95,42.09,138.13,138.13,108.88,99.09
2025-01-10 07:00:00,72.6,43.29,44.56,154.73,154.73,126.29,123.92
2025-01-10 08:00:00,81.17,47.4,49.46,165.33,165.33,141.28,139.47
2025-01-10 09:00:00,81.79,40.63,54.96,160.42,160.42,130.39,136.92
2025-01-10 10:00:00,81.15,36.26,53.63,154.73,154.73,118.56,123.57
2025-01-10 11:00:00,80.0,32.05,55.57,146.45,146.45,109.13,113.59
2025-01-10 12:00:00,76.39,28.64,54.17,141.22,141.22,102.21,107.43
2025-01-10 13:00:00,75.0,28.45,52.62,141.68,141.68,105.61,105.01
2025-01-10 14:00:00,76.06,28.23,53.18,145.41,145.41,112.91,110.01
2025-01-10 15:00:00,75.4,29.56,54.85,145.92,145.92,123.8,128.69
2025-01-10 16:00:00,76.78,36.43,56.52,140.5,140.5,134.64,134.87
2025-01-10 17:00:00,83.45,45.0,62.09,146.34,146.34,143.79,142.56
2025-01-10 18:00:00,85.15,46.73,63.41,140.45,140.45,140.0,144.12
2025-01-10 19:00:00,78.16,45.94,56.39,124.44,124.44,132.15,141.05
2025-01-10 20:00:00,71.92,45.02,55.64,106.15,106.15,120.0,134.82
2025-01-10 21:00:00,67.43,41.29,53.33,86.53,86.53,109.76,122.51
2025-01-10 22:00:00,60.49,39.9,52.05,81.3,81.3,104.49,119.77
2025-01-10 23:00:00,54.45,33.04,37.24,42.96,42.96,96.03,111.71
2025-01-11 00:00:00,47.84,35.01,44.9,5.0,5.0,91.75,106.64
2025-01-11 01:00:00,46.58,34.0,44.74,0.16,0.16,88.59,98.99
2025-01-11 02:00:00,45.74,31.43,45.06,0.08,0.08,87.25,95.71
2025-01-11 03:00:00,43.81,29.14,44.07,0.01,0.01,82.38,89.45
2025-01-11 04:00:00,46.24,28.86,44.53,0.04,0.04,81.95,88.35
2025-01-11 05:00:00,46.46,28.43,42.74,2.75,2.75,89.36,88.4
2025-01-11 06:00:00,51.29,29.22,54.62,57.88,57.88,102.07,88.13
2025-01-11 07:00:00,60.53,31.22,67.11,91.11,91.11,116.86,94.68
2025-01-11 08:00:00,60.02,35.68,70.59,127.44,127.44,141.0,107.65
2025-01-11 09:00:00,62.92,40.0,58.32,129.74,129.74,129.16,103.14
2025-01-11 10:00:00,61.58,38.01,55.89,131.71,131.71,113.65,101.13
2025-01-11 11:00:00,60.6,37.9,54.49,130.02,130.02,106.48,99.56
2025-01-11 12:00:00,51.89,36.08,53.35,117.47,117.47,99.38,96.74
2025-01-11 13:00:00,50.8,32.96,48.39,110.54,110.54,99.0,93.15
2025-01-11 14:00:00,45.46,31.1,49.57,115.74,115.74,105.98,94.9
2025-01-11 15:00:00,42.2,32.25,50.96,117.7,117.7,117.96,104.89
2025-01-11 16:00:00,45.0,32.55,49.12,119.2,119.2,137.35,112.12
2025-01-11 17:00:00,51.51,40.56,53.44,132.39,132.39,150.09,119.8
2025-01-11 18:00:00,48.59,34.46,47.94,132.88,132.88,136.69,122.34
2025-01-11 19:00:00,49.2,30.01,42.16,127.8,127.8,132.31,114.85
2025-01-11 20:00:00,44.99,25.74,38.03,114.56,114.56,117.88,111.19
2025-01-11 21:00:00,44.93,23.73,34.24,93.47,93.47,107.19,104.8
2025-01-11 22:00:00,46.4,25.24,34.01,91.71,91.71,100.0,103.07
2025-01-11 23:00:00,43.46,20.96,27.39,68.54,68.54,97.22,105.69
2025-01-12 00:00:00,47.24,22.82,18.96,19.88,19.88,91.04,83.58
2025-01-12 01:00:00,45.88,19.37,15.82,5.55,5.55,88.22,83.79
2025-01-12 02:00:00,44.61,18.36,19.0,4.69,4.69,85.22,86.75
2025-01-12 03:00:00,42.9,18.34,24.14,0.1,0.1,84.63,84.2
2025-01-12 04:00:00,42.03,18.16,27.0,2.03,2.03,84.34,85.0
2025-01-12 05:00:00,39.33,18.66,35.94,24.94,24.94,85.32,83.75
2025-01-12 06:00:00,42.98,17.39,40.96,85.72,85.72,92.11,85.9
2025-01-12 07:00:00,41.23,18.22,54.51,111.55,111.55,118.16,101.75
2025-01-12 08:00:00,42.12,22.1,60.64,106.83,106.83,140.74,114.67
2025-01-12 09:00:00,45.1,23.93,54.96,97.83,97.83,134.96,120.07
2025-01-12 10:00:00,44.27,24.23,56.5,84.74,84.74,122.01,117.77
2025-01-12 11:00:00,44.18,24.84,57.88,87.38,87.38,114.73,105.61
2025-01-12 12:00:00,42.05,24.45,59.64,75.88,75.88,106.98,102.99
2025-01-12 13:00:00,38.61,22.46,54.94,81.84,81.84,103.08,99.61
2025-01-12 14:00:00,37.76,20.05,51.55,88.2,88.2,104.54,104.74
2025-01-12 15:00:00,33.03,21.48,55.56,95.18,95.18,110.0,118.7
2025-01-12 16:00:00,35.84,24.71,63.01,99.08,99.08,120.0,132.92
2025-01-12 17:00:00,44.24,26.5,64.6,112.01,112.01,127.5,141.0
2025-01-12 18:00:00,46.29,26.68,61.89,119.49,119.49,126.0,146.66
2025-01-12 19:00:00,40.05,26.16,54.9,100.79,100.79,119.47,143.66
2025-01-12 20:00:00,38.15,25.62,53.25,99.35,99.35,108.79,134.86
2025-01-12 21:00:00,30.26,25.53,44.84,84.77,84.77,98.48,127.49
2025-01-12 22:00:00,40.2,27.1,38.68,70.43,70.43,93.37,121.2
2025-01-12 23:00:00,30.89,26.14,37.24,39.57,39.57,85.38,114.9
2025-01-13 00:00:00,23.35,21.82,34.59,32.64,32.64,90.0,112.39
2025-01-13 01:00:00,12.4,23.98,33.47,16.99,16.99,85.0,105.07
2025-01-13 02:00:00,19.01,25.23,32.36,9.0,9.0,82.0,104.46
2025-01-13 03:00:00,23.51,24.85,30.84,2.02,2.02,78.47,100.37
